7호선,장암,경기도 의정부시 장암동 160-8 장암역(7호선),37.7003701,127.0538976
7호선,도봉산,서울특별시 도봉구 도봉동 38-3 도봉산역(7호선),37.6890803,127.046509
7호선,수락산,서울특별시 노원구 상계동 1132-9 수락산역(7호선),37.6771548,127.0553068
7호선,마들,서울특별시 노원구 상계동 650 마들역(7호선),37.6675895,127.0569843
7호선,노원,서울특별시 노원구 상계동 729 노원역(7호선),37.6536158,127.0607581
7호선,중계,서울특별시 노원구 중계동 503-3 중계역(7호선),37.6447079,127.0642313
7호선,하계,서울특별시 노원구 하계동 273-5 하계역(7호선),37.6351911,127.0685438
7호선,공릉(서울과학기술대),서울특별시 노원구 공릉동 385-4 공릉역(7호선),37.6258623,127.0728393
7호선,태릉입구,서울특별시 노원구 공릉동 616-4 태릉입구역(7호선),37.6191035,127.0751197
7호선,먹골,서울특별시 중랑구 묵동 189-5 먹골역(7호선),37.6118009,127.0776929
7호선,중화,서울특별시 중랑구 중화동 50-3 중화역(7호선),37.601757,127.079416
7호선,상봉(시외버스터미널),서울특별시 중랑구 상봉동 100-9 상봉역(7호선),37.5967056,127.0860055
7호선,면목,서울특별시 중랑구 면목동 282-6 면목역(7호선),37.5891527,127.0873411
7호선,사가정,서울특별시 중랑구 면목동 495 사가정역(7호선),37.5817877,127.0843345
7호선,용마산(용마폭포공원),서울특별시 중랑구 면목동 1316-5 용마산역(7호선),37.5739437,127.0870762
7호선,중곡,서울특별시 광진구 중곡동 273-2 7호선 중곡역(7호선),37.5657147,127.0841917
7호선,군자(능동),서울특별시 광진구 능동 275-5 군자(능동)역(7호선),37.5545075,127.0777068
7호선,어린이대공원(세종대),서울특별시 광진구 화양동 164-1 어린이대공원역(7호선),37.5471129,127.0739401
7호선,건대입구,서울특별시 광진구 화양동 6-3 건대입구역(7호선),37.5405169,127.0690846
7호선,뚝섬유원지,서울특별시 광진구 자양동 73-2 뚝섬유원지역(7호선),37.5319161,127.0669943
7호선,청담,서울특별시 강남구 청담동 77-76 청담역(7호선),37.5191066,127.0520336
7호선,강남구청,서울특별시 강남구 삼성동 111-44 강남구청역(7호선),37.5171837,127.041273
7호선,학동,서울특별시 강남구 논현동 279-67 학동역(7호선),37.5111584,127.0216392
7호선,논현,서울특별시 강남구 논현동 279-67 논현역(7호선),37.5111584,127.0216392
7호선,반포,서울특별시 서초구 잠원동 103 반포역(7호선),37.508249,127.0118029
7호선,고속터미널,서울특별시 서초구 반포동 19-11 고속터미널역(7호선),37.5041299,127.0030692
7호선,내방,서울특별시 서초구 방배동 874-16 내방역(7호선),37.4882577,126.9931587
7호선,이수,서울특별시 동작구 사당동 144-4 이수역(7호선),37.4853718,126.9820615
7호선,남성,서울특별시 동작구 사당동 산25-33 남성역(7호선),37.4844029,126.9716975
7호선,숭실대입구(살피재),서울특별시 동작구 상도동 514 숭실대입구역(7호선),37.4957957,126.9540341
7호선,상도,서울특별시 동작구 상도1동 702-1 상도역(중대입구역)(7호선),37.5028025,126.9476764
7호선,장승배기,서울특별시 동작구 상도동 26-20 장승배기역(7호선),37.5045422,126.9385948
7호선,신대방삼거리,서울특별시 동작구 대방동 406-10 신대방삼거리역(7호선),37.4996863,126.9280893
7호선,보라매,서울특별시 동작구 대방동 466-51 보라매역(7호선),37.4998737,126.9205715
7호선,신풍,서울특별시 영등포구 신길동 3599 신풍역(7호선),37.5002639,126.9094225
7호선,대림(구로구청),서울특별시 영등포구 대림동 1050-17 대림역(7호선),37.4927052,126.8966027
7호선,남구로,서울특별시 구로구 구로동 801-95 남구로역(7호선),37.4860154,126.8872302
7호선,가산디지털단지,서울특별시 금천구 가산동 468-4 가산디지털단지역(7호선),37.4822545,126.8821832
7호선,철산,경기도 광명시 철산동 526 철산역(7호선),37.4760554,126.8679003
7호선,광명사거리,경기도 광명시 광명동 158-211 광명사거리역(7호선),37.4784322,126.8571135
7호선,천왕,서울특별시 구로구 천왕동 14-25 천왕역(7호선),37.4840792,126.8403102
7호선,온수(성공회대입구),서울특별시 구로구 온수동 119 온수역(7호선),37.492097,126.823042
