아라팰리스 호텔,http://kko.to/gbwSipomy,제주특별자치도 제주시 남성로26길 26,064-722-2788,291420,O,O,X,X,X,O,https://blog.naver.com/NBlogTop.naver?isHttpsRedirect=true&blogId=arapalace,/accommodation_images/jeju/1_1,/accommodation_images/jeju/1_2
시류객잔,https://place.map.kakao.com/1507798494,제주특별자치도 서귀포시 남원읍 남태해안로 11-11 (우)63621,010-3138-8844,125000,X,O,X,O,X,X,http://siryu.co.kr/,/accommodation_images/jeju/2_1,/accommodation_images/jeju/2_2
누코지스테이,https://place.map.kakao.com/1909919039,제주특별자치도 서귀포시 성산읍 시흥하동로55번길 14-1 (우)63638,010-4605-5253,425148,X,O,X,O,X,X,,/accommodation_images/jeju/3_1,/accommodation_images/jeju/3_2
제주 아이디노,https://place.map.kakao.com/1286564242,제주특별자치도 서귀포시 안덕면 난드르로21번길 26 (우)63533,064-738-2902,350000,O,O,X,O,X,X,http://idinojeju.com/,/accommodation_images/jeju/4_1,/accommodation_images/jeju/4_2
호텔 위드 제주,https://place.map.kakao.com/26406591,제주특별자치도 제주시 노연로 34 (우)63082,064-802-3500,245480,X,O,X,X,X,O,http://www.hotelwithjeju.com/,/accommodation_images/jeju/5_1,/accommodation_images/jeju/5_2
에벤에셀 제주 함덕호텔,https://place.map.kakao.com/69588241,제주특별자치도 제주시 조천읍 조함해안로 504 (우)63333,064-805-0112,464595,X,O,X,O,X,X,http://www.ebenezerhotel.com/,/accommodation_images/jeju/6_1,/accommodation_images/jeju/6_2
오피스제주 사계점,https://place.map.kakao.com/838995986,제주특별자치도 서귀포시 안덕면 향교로 214 (우)63528,064-783-7539,72000,O,O,X,O,X,X,https://o-peace.com/,/accommodation_images/jeju/7_1,/accommodation_images/jeju/7_2
벤티모 호텔 앤 레지던스 제주,https://place.map.kakao.com/1705243950,제주특별자치도 제주시 연삼로 14 (우)63118,064-712-2276,396000,O,O,X,X,O,O,http://www.ventimohotels.com/,/accommodation_images/jeju/7_1,/accommodation_images/jeju/8_2
플레이스 캠프 제주,https://place.map.kakao.com/26969908,제주특별자치도 서귀포시 성산읍 동류암로 20 (우)63640,064-766-3000,319600,O,O,X,O,X,X,https://www.playcegroup.com/,/accommodation_images/jeju/9_1,/accommodation_images/jeju/9_2
신신호텔 천지연,https://place.map.kakao.com/786558512,제주특별자치도 서귀포시 서문로 42-1 (우)63593,064-735-9000,210000,X,O,X,O,O,O,https://m.blog.naver.com/3members_blog/222116385640,/accommodation_images/jeju/10_1,/accommodation_images/jeju/10_2
